Table 78,,,,,,
Full-time Law Enforcement Employees ,,,,,,
"by State by City, 2006",,,,,,
State,City,Total law enforcement employees,Total officers,Total civilians,,
,Chico,157,102,55,,
,Chino,143,95,48,,
,Chowchilla,23,16,7,,
,Chula Vista,356,241,115,,
,City of Angels,10,9,1,,
,Claremont,63,42,21,,
,Clayton,13,11,2,,
,Clearlake,29,24,5,,
,Cloverdale,22,14,8,,
,Clovis,148,102,46,,
,Coalinga,27,18,9,,
,Colma,26,19,7,,
,Colton,100,70,30,,
,Colusa,9,8,1,,
,Concord,212,154,58,,
,Corcoran,28,19,9,,
,Corning,22,14,8,,
,Corona,259,172,87,,
,Coronado,61,41,20,,
,Costa Mesa,224,151,73,,
,Cotati,20,13,7,,
,Covina,84,54,30,,
,Crescent City,12,11,1,,
,Culver City,154,117,37,,
,Cypress,73,56,17,,
,Daly City,146,105,41,,
,Davis,91,55,36,,
,Delano,65,48,17,,
,Del Rey Oaks,6,6,0,,
,Desert Hot Springs,32,25,7,,
,Dinuba,39,30,9,,
,Dixon,31,25,6,,
,Dos Palos,7,5,2,,
,Downey,160,110,50,,
,East Palo Alto,42,34,8,,
,El Cajon,221,141,80,,
,El Centro,72,48,24,,
,El Cerrito,47,38,9,,
,Elk Grove,181,114,67,,
,El Monte,228,159,69,,
,El Segundo,95,62,33,,
,Emeryville,48,31,17,,
,Escalon,14,11,3,,
,Escondido,227,163,64,,
,Etna,3,2,1,,
,Eureka,69,43,26,,
,Exeter,18,16,2,,
,Fairfax,16,11,5,,
,Fairfield,188,122,66,,
,Farmersville,15,14,1,,
,Ferndale,4,4,0,,
,Firebaugh,15,11,4,,
,Folsom,116,85,31,,
,Fontana,244,174,70,,
,Fort Bragg,19,14,5,,
,Fortuna,23,15,8,,
,Foster City,53,36,17,,
,Fountain Valley,81,63,18,,
,Fowler,10,8,2,,
,Fremont,291,188,103,,
,Fresno,"1,217",798,419,,
,Fullerton,223,158,65,,
,Galt,38,27,11,,
,Gardena,96,74,22,,
,Garden Grove,229,158,71,,
,Gilroy,99,59,40,,
,Glendale,380,257,123,,
,Glendora,101,57,44,,
,Gonzales,14,13,1,,
,Grass Valley,33,22,11,,
,Greenfield,20,16,4,,
,Gridley,20,17,3,,
,Grover Beach,27,18,9,,
,Guadalupe,15,12,3,,
,Gustine,13,10,3,,
,Half Moon Bay,23,18,5,,
,Hanford,72,53,19,,
,Hawthorne,141,93,48,,
,Hayward,312,191,121,,
,Healdsburg,29,18,11,,
,Hemet,113,81,32,,
,Hercules,30,27,3,,
,Hermosa Beach,63,37,26,,
,Hillsborough,34,25,9,,
,Hollister,34,29,5,,
,Holtville,7,7,0,,
,Hughson,7,6,1,,
,Huntington Beach,355,217,138,,
,Huntington Park,102,62,40,,
,Huron,15,11,4,,
,Imperial,21,18,3,,
,Indio,125,79,46,,
,Inglewood,269,192,77,,
,Ione,7,6,1,,
,Irvine,252,163,89,,
,Irwindale,35,27,8,,
,Isleton,4,4,0,,
,Jackson,13,11,2,,
,Kensington,11,10,1,,
,Kerman,21,18,3,,
,King City,16,13,3,,
,Kingsburg,20,15,5,,
,Laguna Beach,80,47,33,,
,La Habra,106,70,36,,
,Lakeport,14,12,2,,
,Lake Shastina,5,4,1,,
,La Mesa,92,67,25,,
,La Palma,31,24,7,,
,La Verne,68,48,20,,
,Lemoore,35,29,6,,
,Lincoln,37,30,7,,
,Lindsay,19,12,7,,
,Livermore,145,95,50,,
,Livingston,29,20,9,,
,Lodi,106,76,30,,
,Lompoc,71,49,22,,
,Long Beach,"1,363",901,462,,
,Los Alamitos,26,22,4,,
,Los Altos,44,30,14,,
,Los Angeles,"12,685","9,393","3,292",,
,Los Banos,63,41,22,,
,Los Gatos,57,42,15,,
,Madera,78,57,21,,
,Mammoth Lakes,26,21,5,,
,Manhattan Beach,87,58,29,,
,Manteca,96,70,26,,
,Marina,34,26,8,,
,Martinez,54,39,15,,
,Marysville,35,24,11,,
,Maywood,52,38,14,,
,Menlo Park,66,47,19,,
,Merced,134,94,40,,
,Millbrae,26,18,8,,
,Mill Valley,28,22,6,,
,Milpitas,111,86,25,,
,Modesto,376,266,110,,
,Monrovia,79,55,24,,
,Montclair,77,55,22,,
,Montebello,113,77,36,,
,Monterey,68,47,21,,
,Monterey Park,110,77,33,,
,Moraga,12,11,1,,
,Morgan Hill,49,32,17,,
,Morro Bay,23,17,6,,
,Mountain View,138,93,45,,
,Mount Shasta,15,9,6,,
,Murrieta,112,78,34,,
,Napa,114,71,43,,
,National City,112,80,32,,
,Nevada City,12,11,1,,
,Newark,82,57,25,,
,Newman,13,11,2,,
,Newport Beach,238,141,97,,
,Novato,72,55,17,,
,Oakdale,36,26,10,,
,Oakland,"1,009",688,321,,
,Oceanside,286,199,87,,
,Ontario,327,225,102,,
,Orange,226,158,68,,
,Orland,15,12,3,,
,Oroville,37,25,12,,
,Oxnard,350,232,118,,
,Pacifica,52,39,13,,
,Pacific Grove,27,20,7,,
,Palm Springs,151,89,62,,
,Palo Alto,149,84,65,,
,Palos Verdes Estates,34,24,10,,
,Paradise,40,26,14,,
,Parlier,16,13,3,,
,Pasadena,367,240,127,,
,Paso Robles,51,38,13,,
,Patterson,18,16,2,,
,Petaluma,100,74,26,,
,Piedmont,26,18,8,,
,Pinole,44,28,16,,
,Pismo Beach,33,22,11,,
,Pittsburg,99,72,27,,
,Placentia,70,53,17,,
,Placerville,29,18,11,,
,Pleasant Hill,63,42,21,,
,Pleasanton,118,83,35,,
,Pomona,325,186,139,,
,Porterville,67,46,21,,
,Port Hueneme,32,25,7,,
,Red Bluff,38,24,14,,
,Redding,169,117,52,,
,Redlands,166,95,71,,
,Redondo Beach,157,104,53,,
,Redwood City,127,92,35,,
,Rialto,124,88,36,,
,Richmond,221,153,68,,
,Ridgecrest,46,31,15,,
,Rio Dell,5,5,0,,
,Rio Vista,19,14,5,,
,Ripon,38,26,12,,
,Riverbank,22,18,4,,
,Riverside,565,389,176,,
,Rocklin,79,50,29,,
,Rohnert Park,106,73,33,,
,Roseville,205,132,73,,
,Ross,8,8,0,,
,Sacramento,"1,083",663,420,,
,Salinas,214,161,53,,
,San Anselmo,24,18,6,,
,San Bernardino,466,308,158,,
,San Bruno,65,48,17,,
,San Carlos,41,30,11,,
,Sand City,11,10,1,,
,San Diego,"2,701","1,911",790,,
,San Fernando,49,33,16,,
,San Francisco,"2,541","2,202",339,,
,San Gabriel,65,52,13,,
,Sanger,39,30,9,,
,San Jacinto,40,32,8,,
,San Jose,"1,749","1,373",376,,
,San Leandro,136,93,43,,
,San Luis Obispo,83,57,26,,
,San Marino,30,23,7,,
,San Mateo,153,113,40,,
,San Pablo,70,53,17,,
,San Rafael,96,69,27,,
,Santa Ana,655,360,295,,
,Santa Barbara,204,138,66,,
,Santa Clara,203,129,74,,
,Santa Cruz,115,88,27,,
,Santa Maria,146,106,40,,
,Santa Monica,402,204,198,,
,Santa Paula,41,30,11,,
,Santa Rosa,249,162,87,,
,Sausalito,23,18,5,,
,Scotts Valley,24,17,7,,
,Seal Beach,40,30,10,,
,Seaside,56,41,15,,
,Sebastopol,21,14,7,,
,Selma,47,34,13,,
,Shafter,29,21,8,,
,Sierra Madre,21,17,4,,
,Signal Hill,47,33,14,,
,Simi Valley,182,121,61,,
,Soledad,25,22,3,,
,Sonora,18,14,4,,
,South Gate,127,86,41,,
,South Lake Tahoe,60,38,22,,
,South Pasadena,47,34,13,,
,South San Francisco,105,74,31,,
,Stallion Springs,4,4,0,,
,St. Helena,16,12,4,,
,Stockton,606,404,202,,
,Suisun City,35,23,12,,
,Sunnyvale,290,219,71,,
,Susanville,19,17,2,,
,Sutter Creek,7,7,0,,
,Taft,21,11,10,,
,Tiburon,17,13,4,,
,Torrance,336,240,96,,
,Tracy,121,77,44,,
,Trinidad,2,2,0,,
,Truckee,27,23,4,,
,Tulare,81,59,22,,
,Tulelake,3,3,0,,
,Turlock,98,64,34,,
,Tustin,134,93,41,,
,Twin Cities,40,29,11,,
,Ukiah,38,28,10,,
,Union City,112,78,34,,
,Upland,122,80,42,,
,Vacaville,166,101,65,,
,Vallejo,189,136,53,,
,Ventura,174,125,49,,
,Vernon,70,51,19,,
,Visalia,172,122,50,,
,Walnut Creek,115,78,37,,
,Watsonville,87,65,22,,
,Weed,15,8,7,,
,West Covina,158,112,46,,
,Westminster,144,99,45,,
,Westmorland,5,5,0,,
,West Sacramento,108,70,38,,
,Wheatland,6,6,0,,
,Whittier,164,119,45,,
,Williams,10,8,2,,
,Willits,20,13,7,,
,Willows,9,8,1,,
,Winters,12,10,2,,
,Woodlake,15,13,2,,
,Woodland,90,63,27,,
,Yreka,20,14,6,,
,Yuba City,94,63,31,,
COLORADO,Alamosa,30,25,5,,
,Arvada,208,130,78,,
,Aspen,36,27,9,,
,Ault,6,6,0,,
,Aurora,761,631,130,,
,Avon,18,16,2,,
,Basalt,11,8,3,,
,Bayfield,5,5,0,,
,Berthoud,7,6,1,,
,Black Hawk,33,21,12,,
,Boulder,258,163,95,,
,Breckenridge,27,22,5,,
,Brighton,68,53,15,,
,Broomfield,187,102,85,,
,Brush,14,12,2,,
,Buena Vista,9,7,2,,
,Burlington,10,9,1,,
,Calhan,3,3,0,,
,Campo,1,1,0,,
,Canon City,47,34,13,,
,Carbondale,16,13,3,,
,Castle Rock,65,49,16,,
,Cedaredge,6,5,1,,
,Centennial,62,25,37,,
,Center,8,3,5,,
